"Install_Dates","campaign_id","Country","installs","spends"
"2020-04-27","91502","FI","13","1.71"
"2020-04-12","92536","IE","2","3.61"
"2020-04-11","159253","DK","3","1.54"
"2020-05-11","787733","FR","2","0.5"
"2020-04-11","787170","CZ","145","21.13"
"2020-03-24","790034","RU","3824","407.68"
"2020-05-14","19115","DE","101","89.33"
"2020-05-10","22083","UK","0","5.43"
"2020-04-01","19115","IT","21","4.6"
"2020-04-13","786589","BR","232","20.38"
"2020-05-01","791763","US","33","21.71"
"2020-05-10","19115","CH","0","0.15"
"2020-03-26","95842","US","52","114.73"
"2020-04-22","19115","HU","4","1.64"
"2020-05-02","159253","DE","42","14.83"
"2020-03-24","94578","SK","13","0.37"
"2020-03-29","19115","DK","2","1.25"
"2020-04-27","794235","SO","8","0.04"
"2020-04-25","92368","HK","1","4.42"
"2020-05-04","93687","NZ","10","10.82"
"2020-04-10","160483","TW","21","10.08"
"2020-04-27","803170","RU","87","51.14"
"2020-04-18","95525","UK","10","13.79"
"2020-04-16","91461","FI","13","11.61"
"2020-05-09","787244","DE","2","1.85"
"2020-04-25","792410","GE","6","0.12"
"2020-04-22","19115","FR","1","0.1"
"2020-04-14","786565","AU","1","0.4"
"2020-04-17","93761","NZ","1","0.01"
"2020-04-18","792342","GE","0","0.06"
"2020-05-18","794235","DZ","144","1.19"
"2020-03-30","19115","HR","11","4.29"
"2020-04-06","93806","PL","98","39.57"
"2020-05-05","161271","UA","97","6.25"
"2020-04-17","790653","SK","1","0.1"
"2020-03-26","91391","DK","2","0.29"
"2020-04-09","787708","FI","7","0.7"
"2020-05-10","19115","AT","3","10.4"
"2020-04-30","792410","PY","44","0.88"
"2020-05-07","792410","AM","57","1.08"
"2020-04-14","788109","IL","1","0.06"
"2020-05-16","90619","UN","0","0.08"
"2020-04-21","159253","AT","4","0.85"
"2020-04-21","19115","TW","1","0.49"
"2020-05-05","19115","RU","1021","250.89"
"2020-04-05","789191","PH","28","0.87"
"2020-04-25","22083","SA","1","4.12"
"2020-03-24","788761","KZ","56","1.77"
"2020-03-21","159854","IT","42","13.83"
"2020-04-02","792160","UZ","15","0.15"
"2020-05-07","786714","BY","291","26.6"
"2020-04-01","96175","RS","8","0.06"
"2020-04-19","19115","US","117","290.07"
"2020-03-25","161666","MX","36","2.16"
"2020-04-28","788839","LV","82","15.82"
"2020-03-27","792044","US","116","37.38"
"2020-04-30","794235","NI","7","0.04"
"2020-04-15","19115","NZ","0","0.23"
"2020-04-27","19115","BE","3","0.64"
"2020-04-02","19115","HK","2","0.49"
"2020-04-18","19115","UA","129","24.15"
"2020-03-29","161569","US","46","31.66"
"2020-04-06","790575","SE","1","0.11"
"2020-04-21","794235","EG","15","0.08"
"2020-04-30","794235","MA","4","0.02"
"2020-04-30","794235","AZ","4","0.02"
"2020-05-09","92708","JP","13","45.04"
"2020-05-01","22083","DE","24","41.48"
"2020-03-27","788408","IT","70","6.3"
"2020-05-03","794235","CO","5","0.02"
"2020-05-05","788248","IN","0","0.02"
"2020-05-05","803115","DE","5","2.76"
"2020-05-11","95659","US","38","69.8"
"2020-04-20","793773","PK","0","0.3"
"2020-05-13","794235","Unknown","0","0.01"
"2020-05-08","94342","SE","14","22.3"
"2020-04-20","22083","CH","1","0.78"
"2020-04-20","19115","UK","6","11.1"
"2020-04-12","22083","IT","0","0.3"
"2020-04-19","94033","UN","0","0.41"
"2020-05-16","794235","JM","3","0.02"
"2020-05-07","93399","NL","29","34.55"
"2020-04-29","786429","AT","77","45.93"
"2020-05-16","787112","CL","2","0.41"
"2020-04-02","19115","IE","11","1.91"
"2020-05-18","794235","GR","7","0.05"
"2020-04-27","94157","QA","4","4.98"
"2020-04-28","794235","PE","1","0.01"
"2020-05-07","160483","KR","59","49.22"
"2020-05-04","22083","FR","5","3.09"
"2020-04-26","89917","AU","7","28.81"
"2020-04-07","791872","US","21","29.95"
"2020-04-10","791179","UA","161","46.52"
"2020-04-27","787274","DE","81","27.86"
"2020-03-29","90619","DE","90","123.4"
"2020-04-26","791631","US","37","26.89"
"2020-05-11","93101","KR","8","0.81"
"2020-05-17","794235","JO","39","0.33"
"2020-05-02","803255","UA","7","1.28"
"2020-04-16","788709","KZ","15","3.22"
"2020-03-25","792192","UZ","627","15.78"
"2020-03-27","786843","BY","208","7.32"
"2020-05-09","19115","CZ","7","2.17"
"2020-05-09","786995","CH","14","9.23"
"2020-05-05","19115","RO","6","0.89"
"2020-05-11","794235","VE","14","0.08"
"2020-05-17","22083","CA","2","6.55"
"2020-03-27","788477","JP","2","0.56"
"2020-04-26","159854","UK","6","1.68"
"2020-05-09","22083","TW","2","2.6"
"2020-04-25","22083","RU","88","95.94"
"2020-04-11","787481","DE","97","40.25"
"2020-03-30","791913","US","0","50.6628"
"2020-04-01","19115","KR","9","19.71"
"2020-05-06","791542","UK","52","18.33"
"2020-05-11","19115","ES","20","4.02"
"2020-05-07","22083","US","36","35.68"
"2020-05-09","160696","PL","6","1.6"
"2020-04-24","790778","UA","779","100.16"
"2020-05-02","94692","UA","43","21.92"
"2020-05-12","789292","PL","107","26.5"
"2020-05-09","19115","NO","1","2.37"
"2020-05-14","90619","DK","2","6.96"
"2020-05-05","792410","PH","34","0.72"
"2020-05-12","19115","FI","6","5.29"
"2020-03-22","19115","SE","1","0.31"
"2020-05-10","794235","SV","4","0.02"
"2020-04-29","19115","DE","29","20.06"
